change_type,doc_id,meeting_date,fiscal_year,source_system,doc_type,meeting_type,title
added,destinyhosted__20210406_222/AGENDApacket__04-06-21_0358_221.pdf__agenda_packet,2021-04-06,2021,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__474690__minutes,2021-04-02,2021,laserfiche,minutes,regular,04-02-2021 Minutes
added,laserfiche__474064__minutes,2021-03-23,2021,laserfiche,minutes,regular,03-23-2021 Minutes
added,destinyhosted__20210323_215/AGENDApacket__03-23-21_0245_214.pdf__agenda_packet,2021-03-23,2021,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__468924__minutes,2021-03-08,2021,laserfiche,minutes,regular,03-08-2021 Minutes
added,destinyhosted__20210308_217/AGENDApacket__03-08-21_0423_216.pdf__agenda_packet,2021-03-08,2021,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__468926__minutes,2021-03-02,2021,laserfiche,minutes,regular,03-02-2021 Minutes
added,destinyhosted__20210302_200/AGENDApacket__03-02-21_0402_199.pdf__agenda_packet,2021-03-02,2021,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__467688__minutes,2021-02-23,2021,laserfiche,minutes,regular,02-23-2021 Minutes
added,destinyhosted__20210223_209/AGENDApacket__02-23-21_0456_208.pdf__agenda_packet,2021-02-23,2021,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__467389__minutes,2021-02-09,2021,laserfiche,minutes,regular,02-09-2021 Minutes
added,destinyhosted__20210209_205/AGENDApacket__02-09-21_1009_204.pdf__agenda_packet,2021-02-09,2021,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__467388__minutes,2021-02-05,2021,laserfiche,minutes,regular,02-05-2021 Minutes
added,laserfiche__466982__minutes,2021-02-02,2021,laserfiche,minutes,regular,02-02-2021 Minutes
added,destinyhosted__20210202_204/AGENDApacket__02-02-21_0339_203.pdf__agenda_packet,2021-02-02,2021,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__466733__minutes,2021-01-26,2021,laserfiche,minutes,regular,01-26-2021 Minutes
added,destinyhosted__20210126_199/AGENDApacket__01-26-21_0421_198.pdf__agenda_packet,2021-01-26,2021,destinyhosted,agenda_packet,other,DOWNLOAD PDF PACKET
added,laserfiche__466099__minutes,2021-01-12,2021,laserfiche,minutes,regular,01-12-2021 Minutes
